document_size,3000,1500,plan_12_00.psd
LayerSet,Foreground,0
0,2817,-107,3006,710,1
1,182,-119,542,521,1
1,1653,-125,2013,515,1
3,198,-311,1288,537,1
4,-29,-72,249,552,1
5,2183,-110,2938,510,1
6,-152,-260,1921,254,1
7,-123,19,958,515,1
8,196,59,553,542,1
7,1901,19,2982,515,1
10,1736,-221,3787,381,1
11,1723,71,2309,1533,1
12,0,468,1160,1500,1
13,68,1216,2383,1486,1
14,1161,980,3122,2345,1
15,491,1209,829,1500,1
16,0,1230,281,1500,1
17,1664,0,2626,200,1
18,2336,0,3000,403,1
19,249,1209,586,1500,1
20,33,1132,371,1500,1
LayerSet,Middle,0
21,1100,-676,2425,684,23
21,-692,273,633,1633,23
21,-554,-426,771,934,23
24,-242,573,440,1420,23
25,-132,-133,598,725,23
26,2309,937,2949,1185,23
27,2506,688,2812,1070,23
28,1273,105,1500,668,23
29,191,153,532,1002,23
30,2868,802,3133,1073,23
31,2791,977,3055,1249,23
32,2642,204,3235,1045,23
33,2380,424,3080,1012,23
34,2188,345,3166,911,23
35,2011,439,3000,906,23
36,2302,119,2582,776,23
37,2561,227,2947,839,23
38,2127,8,3050,602,23
39,2175,37,3029,811,23
40,1451,362,1567,491,23
41,2458,240,2947,563,23
42,182,770,348,953,23
43,1490,515,1607,644,23
44,273,706,439,889,23
45,553,590,1057,786,23
46,658,381,904,689,23
47,1369,488,1485,616,23
47,1451,469,1567,597,23
49,1567,475,1683,604,23
45,1532,526,2036,722,23
51,1658,337,1890,627,23
52,1898,650,2425,782,23
53,1147,493,1549,625,23
53,1142,524,1544,656,23
53,-54,881,348,1013,23
56,909,367,1063,698,23
57,934,514,1052,645,23
53,633,552,1035,684,23
53,553,576,955,708,23
53,984,552,1386,684,23
61,2267,510,2359,662,23
62,249,453,410,618,23
62,437,455,598,620,23
64,169,559,330,724,23
52,-29,500,498,632,23
62,344,559,505,724,23
62,499,571,660,736,23
30,1166,851,1431,1122,23
69,757,774,877,974,23
31,1029,1038,1293,1310,23
31,1280,1038,1544,1310,23
72,2441,1002,3000,1427,23
73,1865,561,2336,679,23
74,703,1096,1131,1348,23
52,26,615,553,747,23
52,307,858,834,990,23
77,1451,1067,2053,1301,23
78,1532,722,1926,1214,23
79,1653,1011,2771,1458,23
72,2441,800,3000,1225,23
79,1707,843,2825,1290,23
79,827,1038,1945,1485,23
83,24,929,986,1434,23
84,686,747,1803,1194,23
79,2064,1115,3182,1562,23
79,628,977,1746,1424,23
79,1505,700,2623,1147,23
88,0,703,956,1115,23
89,79,604,986,977,23
90,725,594,1631,959,23
91,2390,524,3046,794,23
92,1829,549,2739,953,23
90,1200,551,2106,916,23
94,1544,264,1949,736,23
95,1618,1,2024,463,23
96,1427,-41,1835,415,23
97,1360,230,1768,706,23
LayerSet,Background,0
98,0,0,3000,1216,101
99,967,-24,1629,492,101
100,2390,100,2492,537,101
100,1212,-8,1314,429,101
102,1032,64,1226,409,101
103,554,38,686,334,101
103,439,119,571,415,101
105,2618,424,2838,722,101
106,2667,175,2856,473,101
105,2492,402,2712,700,101
108,2221,57,2629,407,101
109,2297,292,2618,679,101
106,2550,143,2739,441,101
111,771,336,1100,659,101
112,884,167,1317,715,101
113,229,318,2092,1175,101
115,0,0,3000,1500,101
